file_name,tumor_type,seed_index,n_mit,n_pool,frac_on_nucleus,arm,lo_um,hi_um,retention_nominal,n_kept,n_tp,recall,depth_90,depth_95,depth_100
201.tiff,canine lung cancer,1,17,22631,0.5938756572842561,insample@0.98,6.075897741317749,19.91513147354126,0.98,18607,16,0.9411764705882353,12701.0,,
201.tiff,canine lung cancer,1,17,22631,0.5938756572842561,lodo@0.98,3.6195910692214968,21.30833625793457,0.98,20807,17,1.0,267.0,644.0,644.0
201.tiff,canine lung cancer,1,17,22631,0.5938756572842561,insample@0.95,6.093243479728699,19.626921892166138,0.95,18550,16,0.9411764705882353,12652.0,,
201.tiff,canine lung cancer,1,17,22631,0.5938756572842561,lodo@0.95,3.963262927532197,15.015493750572142,0.95,19116,14,0.8235294117647058,,,
201.tiff,canine lung cancer,2,17,17861,0.5437545490174123,baseline,-inf,inf,,17861,17,1.0,1862.0,2867.0,2867.0
201.tiff,canine lung cancer,2,17,17861,0.5437545490174123,apriori,4.0,18.0,,16193,15,0.8823529411764706,,,
201.tiff,canine lung cancer,2,17,17861,0.5437545490174123,insample@1.00,6.064333915710449,20.107271194458008,1.0,15217,17,1.0,1732.0,2657.0,2657.0
201.tiff,canine lung cancer,2,17,17861,0.5437545490174123,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,17831,17,1.0,1862.0,2867.0,2867.0
201.tiff,canine lung cancer,2,17,17861,0.5437545490174123,insample@0.99,6.0701158285140995,20.011201333999633,0.99,15201,15,0.8823529411764706,,,
201.tiff,canine lung cancer,2,17,17861,0.5437545490174123,lodo@0.99,2.823413163423538,24.682384529113353,0.99,17215,17,1.0,1823.0,2815.0,2815.0
201.tiff,canine lung cancer,2,17,17861,0.5437545490174123,insample@0.98,6.075897741317749,19.91513147354126,0.98,15184,15,0.8823529411764706,,,
201.tiff,canine lung cancer,2,17,17861,0.5437545490174123,lodo@0.98,3.6195910692214968,21.30833625793457,0.98,16799,17,1.0,1802.0,2771.0,2771.0
201.tiff,canine lung cancer,2,17,17861,0.5437545490174123,insample@0.95,6.093243479728699,19.626921892166138,0.95,15137,15,0.8823529411764706,,,
201.tiff,canine lung cancer,2,17,17861,0.5437545490174123,lodo@0.95,3.963262927532197,15.015493750572142,0.95,15628,14,0.8235294117647058,,,
201.tiff,canine lung cancer,3,17,23817,0.3335852542301717,baseline,-inf,inf,,23817,17,1.0,2123.0,2265.0,2265.0
