file_name,tumor_type,arm_tag,arm,axis,budget,n_seeds,mean,sd,min,max,range,seed_pool_size,n_gt_mitotic,granularity_1_over_n
459.tiff,canine soft tissue sarcoma,pad_off,tm_score@pad_off,tm_score,1000,5,0.7676923076923077,0.013760418323075624,0.7461538461538462,0.7846153846153846,0.038461538461538436,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on,chromatin_od@pad_on,chromatin_od,50,5,0.31384615384615383,0.006435846357954424,0.3076923076923077,0.3230769230769231,0.015384615384615385,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on,chromatin_od@pad_on,chromatin_od,100,5,0.46769230769230774,0.003440104580768895,0.46153846153846156,0.46923076923076923,0.007692307692307665,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on,chromatin_od@pad_on,chromatin_od,250,5,0.6569230769230769,0.00688020916153779,0.6461538461538462,0.6615384615384615,0.01538461538461533,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on,chromatin_od@pad_on,chromatin_od,500,5,0.7430769230769231,0.0068802091615378395,0.7307692307692307,0.7461538461538462,0.015384615384615441,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on,chromatin_od@pad_on,chromatin_od,1000,5,0.8046153846153846,0.0087705801930703,0.7923076923076923,0.8153846153846154,0.023076923076923106,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on,tm_score@pad_on,tm_score,50,5,0.30923076923076925,0.008426500884694862,0.3,0.3153846153846154,0.015384615384615385,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on,tm_score@pad_on,tm_score,100,5,0.43538461538461537,0.02345838566457986,0.4076923076923077,0.46153846153846156,0.05384615384615388,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on,tm_score@pad_on,tm_score,250,5,0.5815384615384616,0.024080732065382363,0.5615384615384615,0.6230769230769231,0.06153846153846154,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on,tm_score@pad_on,tm_score,500,5,0.6846153846153846,0.022426738057097315,0.6692307692307692,0.7230769230769231,0.05384615384615388,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on,tm_score@pad_on,tm_score,1000,5,0.7676923076923077,0.013760418323075624,0.7461538461538462,0.7846153846153846,0.038461538461538436,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,50,5,0.31846153846153846,0.008770580193070287,0.3076923076923077,0.33076923076923076,0.02307692307692305,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,100,5,0.47846153846153844,0.003440104580768895,0.47692307692307695,0.4846153846153846,0.007692307692307665,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,250,5,0.6599999999999999,0.003440104580768895,0.6538461538461539,0.6615384615384615,0.007692307692307665,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,500,5,0.7523076923076923,0.010029542161850194,0.7384615384615385,0.7615384615384615,0.023076923076922995,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1000,5,0.8107692307692307,0.008770580193070261,0.8,0.823076923076923,0.023076923076922995,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on_dropband,tm_score@pad_on_dropband,tm_score,50,5,0.30923076923076925,0.008426500884694862,0.3,0.3153846153846154,0.015384615384615385,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on_dropband,tm_score@pad_on_dropband,tm_score,100,5,0.43538461538461537,0.02345838566457986,0.4076923076923077,0.46153846153846156,0.05384615384615388,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on_dropband,tm_score@pad_on_dropband,tm_score,250,5,0.5815384615384616,0.024080732065382363,0.5615384615384615,0.6230769230769231,0.06153846153846154,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on_dropband,tm_score@pad_on_dropband,tm_score,500,5,0.6846153846153846,0.022426738057097315,0.6692307692307692,0.7230769230769231,0.05384615384615388,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1000,5,0.7692307692307692,0.014390989949130538,0.7461538461538462,0.7846153846153846,0.038461538461538436,121,130,0.007692307692307693
460.tiff,canine soft tissue sarcoma,pad_off,chromatin_od@pad_off,chromatin_od,50,5,0.5828571428571427,0.015649215928719037,0.5714285714285714,0.6,0.02857142857142858,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_off,chromatin_od@pad_off,chromatin_od,100,5,0.6628571428571428,0.012777531299998804,0.6571428571428571,0.6857142857142857,0.02857142857142858,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_off,chromatin_od@pad_off,chromatin_od,250,5,0.8,0.02020305089104422,0.7714285714285715,0.8285714285714286,0.05714285714285716,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_off,chromatin_od@pad_off,chromatin_od,500,5,0.8171428571428571,0.03833259389999635,0.8,0.8857142857142857,0.08571428571428563,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_off,chromatin_od@pad_off,chromatin_od,1000,5,0.9028571428571428,0.032576440717118245,0.8571428571428571,0.9428571428571428,0.08571428571428574,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_off,tm_score@pad_off,tm_score,50,5,0.5257142857142857,0.03833259389999638,0.4857142857142857,0.5714285714285714,0.08571428571428569,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_off,tm_score@pad_off,tm_score,100,5,0.64,0.04780914437337576,0.6,0.7142857142857143,0.11428571428571432,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_off,tm_score@pad_off,tm_score,250,5,0.7257142857142858,0.025555062599997607,0.6857142857142857,0.7428571428571429,0.05714285714285716,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_off,tm_score@pad_off,tm_score,500,5,0.7885714285714286,0.025555062599997604,0.7714285714285715,0.8285714285714286,0.05714285714285716,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_off,tm_score@pad_off,tm_score,1000,5,0.8285714285714286,0.0404061017820884,0.7714285714285715,0.8857142857142857,0.11428571428571421,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_on,chromatin_od@pad_on,chromatin_od,50,5,0.5828571428571427,0.015649215928719037,0.5714285714285714,0.6,0.02857142857142858,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_on,chromatin_od@pad_on,chromatin_od,100,5,0.6628571428571428,0.012777531299998804,0.6571428571428571,0.6857142857142857,0.02857142857142858,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_on,chromatin_od@pad_on,chromatin_od,250,5,0.7828571428571429,0.015649215928719037,0.7714285714285715,0.8,0.02857142857142858,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_on,chromatin_od@pad_on,chromatin_od,500,5,0.8171428571428571,0.03833259389999635,0.8,0.8857142857142857,0.08571428571428563,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_on,chromatin_od@pad_on,chromatin_od,1000,5,0.8971428571428571,0.032576440717118245,0.8571428571428571,0.9428571428571428,0.08571428571428574,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_on,tm_score@pad_on,tm_score,50,5,0.5257142857142857,0.03833259389999638,0.4857142857142857,0.5714285714285714,0.08571428571428569,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_on,tm_score@pad_on,tm_score,100,5,0.6342857142857143,0.05495824017620386,0.5714285714285714,0.7142857142857143,0.1428571428571429,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_on,tm_score@pad_on,tm_score,250,5,0.7257142857142858,0.025555062599997607,0.6857142857142857,0.7428571428571429,0.05714285714285716,31,35,0.02857142857142857
460.tiff,canine soft tissue sarcoma,pad_on,tm_score@pad_on,tm_score,500,5,0.7885714285714286,0.025555062599997604,0.7714285714285715,0.8285714285714286,0.05714285714285716,31,35,0.02857142857142857
