subset,file_name,domain,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,base_size,tpl_cx,tpl_cy,tpl_offset_px,tpl_sha1,n_agreement_pool,n_after_border,n_joint_valid,n_seed_pool,n_retries,refused_draws,contested_seed_tier,n_gt_mitotic,nearest_other_ann_px,n_peaks,max_peaks_binding,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,od_descending,match_radius_px,mpp,t_pipeline_s,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
testing_35,344.tiff,canine cutaneous mast cell tumor,344,2,gray_bbox,17460,2486.0,4123.0,27,2489.0,4123.5,3.041,93c7147d67d2d084fc57edcd81a25a33fa78afe4,30,30,27,28,0,,False,43,228.0,100,True,98,729,0,,0,True,29.609055118110238,0.2533008895448562,3.7,6,14,22,0.6,0.7,0.7333333333333333
testing_35,344.tiff,canine cutaneous mast cell tumor,344,2,hem_bbox,17460,2486.0,4123.0,21,2486.0,4124.5,1.5,8cc38753ee235f6f5411f95f7e757286fde5398d,30,30,27,28,0,,False,43,228.0,100,True,98,441,0,,0,True,29.609055118110238,0.2533008895448562,3.9,6,14,17,0.6,0.7,0.5666666666666667
original_14,201.tiff,canine lung cancer,201,0,default_51,4457,4097.0,1978.0,51,4097.0,1978.0,0.0,dc31b3172070f5ffdc292ab322a31903f7836050,7,7,6,7,0,,False,17,526.11,100,True,99,2601,0,,0,True,30.221751968503938,0.24816562612969095,6.3,4,8,9,0.4,0.4,0.3
original_14,201.tiff,canine lung cancer,201,0,gray_bbox,4457,4097.0,1978.0,51,4097.0,1977.5,0.5,dc31b3172070f5ffdc292ab322a31903f7836050,7,7,6,7,0,,False,17,526.11,100,True,99,2601,0,,0,True,30.221751968503938,0.24816562612969095,6.5,4,8,9,0.4,0.4,0.3
original_14,201.tiff,canine lung cancer,201,0,hem_bbox,4457,4097.0,1978.0,29,4092.0,1978.0,5.0,29c1a0090fbb9586113c1ff04ec155197d5485dd,7,7,6,7,0,,False,17,526.11,100,True,98,841,0,,0,True,30.221751968503938,0.24816562612969095,5.9,4,6,7,0.4,0.3,0.23333333333333334
original_14,201.tiff,canine lung cancer,201,1,default_51,4469,6265.0,3299.0,51,6265.0,3299.0,0.0,b0fb00fb617ddc39a18881027a185e52b1677859,7,7,6,6,0,,False,17,176.98,100,True,100,2601,0,,0,True,30.221751968503938,0.24816562612969095,6.3,4,8,10,0.4,0.4,0.3333333333333333
original_14,201.tiff,canine lung cancer,201,1,gray_bbox,4469,6265.0,3299.0,51,6262.0,3299.0,3.0,fe1938b12e4c3e6624b143a0c664003d335bbaf2,7,7,6,6,0,,False,17,176.98,100,True,100,2601,0,,0,True,30.221751968503938,0.24816562612969095,6.6,3,8,10,0.3,0.4,0.3333333333333333
original_14,201.tiff,canine lung cancer,201,1,hem_bbox,4469,6265.0,3299.0,31,6263.0,3299.5,2.062,d5178010c83fe541295f14888897ca3cac52772f,7,7,6,6,0,,False,17,176.98,100,True,99,961,0,,0,True,30.221751968503938,0.24816562612969095,6.2,3,7,7,0.3,0.35,0.23333333333333334
original_14,201.tiff,canine lung cancer,201,2,default_51,4476,2859.0,4239.0,51,2859.0,4239.0,0.0,154edfbb1045a8ec6390b1149d2826c7ec6169e6,7,7,6,5,0,,False,17,515.12,100,True,100,2601,0,,0,True,30.221751968503938,0.24816562612969095,6.6,3,5,7,0.3,0.25,0.23333333333333334
original_14,201.tiff,canine lung cancer,201,2,gray_bbox,4476,2859.0,4239.0,35,2857.5,4239.0,1.5,77c6aa2f1a82ab999ed89294aebe8e8b64b1c7a5,7,7,6,5,0,,False,17,515.12,100,True,100,1225,0,,0,True,30.221751968503938,0.24816562612969095,6.0,3,5,7,0.3,0.25,0.23333333333333334
original_14,201.tiff,canine lung cancer,201,2,hem_bbox,4476,2859.0,4239.0,33,2858.0,4239.5,1.118,c6831c43437929967ca34dafc3e123b4f42d85af,7,7,6,5,0,,False,17,515.12,100,True,99,1089,0,,0,True,30.221751968503938,0.24816562612969095,6.3,4,6,7,0.4,0.3,0.23333333333333334
original_14,233.tiff,canine lung cancer,233,0,default_51,5761,4419.0,2138.0,51,4419.0,2138.0,0.0,063f798be41263e5f4710f762858fc2ad25fc61a,13,12,11,12,0,,False,17,449.81,100,True,100,2601,0,,0,True,30.221751968503938,0.24816562612969095,7.5,6,8,9,0.6,0.4,0.3
original_14,233.tiff,canine lung cancer,233,0,gray_bbox,5761,4419.0,2138.0,25,4418.0,2139.0,1.414,5eb9f87f68a33ec28dd3a7a78fee5440b3a7772b,13,12,11,12,0,,False,17,449.81,100,True,98,625,0,,0,True,30.221751968503938,0.24816562612969095,6.9,7,8,10,0.7,0.4,0.3333333333333333
