file_name,tumor_type,image_id,seed_index,seed_ann_id,n_retries,contested_seed_tier,base_size,mpp,roi_h,roi_w,match_radius_px,nms_radius_px,pad_px,map_median,mad_scale,n_pre_nms_z1,n_post_nms_z1,n_at_current_z,n_gt_mitotic_eval,null_hit_frac,deep_recall_z1,precision_z1,coverage_z1,shortcut_ok,harness_full_list_recall,r5_n_detections,r5_tp,r5_precision,r5_recall,r5_fp_dup_on_mitotic
245.tiff,canine lymphosarcoma,245,4,6354,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,25,-0.007403915282338858,0.25984552402496336,46609,16748,16747,89,0.007768561284444026,0.9550561797752809,0.005075535916880636,0.9478823011908128,True,0.1348314606741573,48,12,0.25,0.1348314606741573,0
246.tiff,canine lymphosarcoma,246,0,6548,0,False,41,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,20,-0.006127519533038139,0.17130555468052625,34771,16837,16836,115,0.010030791466365036,1.0,0.006830601092896175,0.9439783831338172,True,0.26956521739130435,48,31,0.6458333333333334,0.26956521739130435,1
246.tiff,canine lymphosarcoma,246,1,6599,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,25,-0.004754615481942892,0.18055911477059125,41271,16654,16653,115,0.01001508153454614,1.0,0.006905662643367561,0.9418968171678135,True,0.2608695652173913,48,30,0.625,0.2608695652173913,0
246.tiff,canine lymphosarcoma,246,2,6484,0,False,47,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,23,-0.0036368416622281075,0.18420176402181385,34264,16355,16354,115,0.010030791466365036,0.9826086956521739,0.0069096245566833804,0.9346859584629402,True,0.30434782608695654,48,35,0.7291666666666666,0.30434782608695654,0
246.tiff,canine lymphosarcoma,246,3,6520,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,25,-0.010693099349737167,0.18345034417212008,33856,17638,17637,115,0.010022936500455588,1.0,0.006520383285139196,0.9538913501115405,True,0.3130434782608696,48,36,0.75,0.3130434782608696,0
246.tiff,canine lymphosarcoma,246,4,6587,0,False,37,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,18,-0.0039575183764100075,0.18126200852841137,40160,16930,16929,115,0.010030791466365036,1.0,0.006793076968515565,0.9468533006566752,True,0.26956521739130435,48,31,0.6458333333333334,0.26956521739130435,2
300.tiff,canine cutaneous mast cell tumor,300,0,14581,0,False,45,0.2533008895448562,4835,6447,29.609055118110238,29.609055118110238,22,-0.05718629062175751,0.37148231139779087,25079,15452,15451,180,0.01587925541933846,0.9944444444444445,0.011585010678920458,0.9090648518946187,True,0.17777777777777778,48,32,0.6666666666666666,0.17777777777777778,0
300.tiff,canine cutaneous mast cell tumor,300,1,14577,0,False,41,0.2533008895448562,4835,6447,29.609055118110238,29.609055118110238,20,-0.025555752217769623,0.4118960071921348,32799,14958,14957,180,0.015871066014790065,0.9944444444444445,0.011967640569632948,0.8987216339499955,True,0.13333333333333333,47,24,0.5106382978723404,0.13333333333333333,1
300.tiff,canine cutaneous mast cell tumor,300,2,14614,0,False,47,0.2533008895448562,4835,6447,29.609055118110238,29.609055118110238,23,-0.08870109915733337,0.4143374893069267,21198,15477,15476,180,0.015871066014790065,0.9888888888888889,0.011501680020677177,0.9070420689711651,True,0.22777777777777777,48,41,0.8541666666666666,0.22777777777777777,0
300.tiff,canine cutaneous mast cell tumor,300,3,14614,0,False,47,0.2533008895448562,4835,6447,29.609055118110238,29.609055118110238,23,-0.08870109915733337,0.4143374893069267,21198,15477,15476,180,0.015871066014790065,0.9888888888888889,0.011501680020677177,0.9070420689711651,True,0.22777777777777777,48,41,0.8541666666666666,0.22777777777777777,0
