file_name,arm,K,n_topk_shared,topk_identical,n_hem,n_gray,tp_counts_tie
529.tiff,od_contrast_GT_hit_sets,20,7,False,8.0,7.0,False
529.tiff,od_contrast_GT_hit_sets,30,7,False,8.0,7.0,False
529.tiff,od_contrast_GT_hit_sets,50,7,False,8.0,7.0,False
529.tiff,tm_score,10,0,False,,,
529.tiff,tm_score,20,1,False,,,
529.tiff,tm_score,30,1,False,,,
529.tiff,tm_score,50,1,False,,,
529.tiff,chromatin_od,10,0,False,,,
529.tiff,chromatin_od,20,0,False,,,
529.tiff,chromatin_od,30,0,False,,,
529.tiff,chromatin_od,50,1,False,,,
529.tiff,od_contrast,10,0,False,,,
529.tiff,od_contrast,20,0,False,,,
529.tiff,od_contrast,30,0,False,,,
529.tiff,od_contrast,50,2,False,,,
529.tiff/hem_bbox,chromatin_od_vs_tm_within,10,3,False,,,
529.tiff/hem_bbox,od_contrast_vs_tm_within,10,4,False,,,
529.tiff/gray_bbox,chromatin_od_vs_tm_within,10,4,False,,,
529.tiff/gray_bbox,od_contrast_vs_tm_within,10,5,False,,,
548.tiff,tm_score_GT_hit_sets,10,4,False,4.0,5.0,False
548.tiff,tm_score_GT_hit_sets,20,9,False,9.0,10.0,False
548.tiff,tm_score_GT_hit_sets,30,13,False,15.0,16.0,False
548.tiff,tm_score_GT_hit_sets,50,25,False,30.0,28.0,False
548.tiff,chromatin_od_GT_hit_sets,10,7,False,8.0,8.0,True
548.tiff,chromatin_od_GT_hit_sets,20,12,False,13.0,13.0,True
548.tiff,chromatin_od_GT_hit_sets,30,20,False,21.0,21.0,True
548.tiff,chromatin_od_GT_hit_sets,50,34,False,35.0,36.0,False
548.tiff,od_contrast_GT_hit_sets,10,8,False,9.0,8.0,False
548.tiff,od_contrast_GT_hit_sets,20,15,False,16.0,15.0,False
548.tiff,od_contrast_GT_hit_sets,30,23,False,24.0,24.0,True
548.tiff,od_contrast_GT_hit_sets,50,33,False,35.0,35.0,True
548.tiff,tm_score,10,4,False,,,
548.tiff,tm_score,20,12,False,,,
548.tiff,tm_score,30,16,False,,,
548.tiff,tm_score,50,26,False,,,
548.tiff,chromatin_od,10,2,False,,,
548.tiff,chromatin_od,20,6,False,,,
548.tiff,chromatin_od,30,9,False,,,
548.tiff,chromatin_od,50,24,False,,,
548.tiff,od_contrast,10,2,False,,,
548.tiff,od_contrast,20,5,False,,,
548.tiff,od_contrast,30,8,False,,,
548.tiff,od_contrast,50,23,False,,,
548.tiff/hem_bbox,chromatin_od_vs_tm_within,10,4,False,,,
548.tiff/hem_bbox,od_contrast_vs_tm_within,10,4,False,,,
548.tiff/gray_bbox,chromatin_od_vs_tm_within,10,2,False,,,
548.tiff/gray_bbox,od_contrast_vs_tm_within,10,4,False,,,
