file_name,tumor_type,z,arm,n_r50,n_r75,rec_r50,rec_r75,cov_r50,cov_r75,pct_extra_at_r50,d_recall_r50_minus_r75
459.tiff,canine soft tissue sarcoma,2.5,chromatin_od,11023,9806,0.9769230769230768,0.9769230769230769,0.7118,0.6831,12.4107689169896,-1.1102230246251565e-16
459.tiff,canine soft tissue sarcoma,3.0,chromatin_od,7162,6666,0.9307692307692308,0.9307692307692308,0.5139,0.4984,7.440744074407446,0.0
459.tiff,canine soft tissue sarcoma,-1.0,tm_score,26152,17994,1.0,1.0,0.9954,0.9647,45.33733466711125,0.0
459.tiff,canine soft tissue sarcoma,-0.5,tm_score,26135,17988,1.0,1.0,0.9954,0.9646,45.29130531465422,0.0
459.tiff,canine soft tissue sarcoma,0.0,tm_score,25835,17907,1.0,1.0,0.9949,0.9634,44.273189255598375,0.0
459.tiff,canine soft tissue sarcoma,0.5,tm_score,23998,17234,1.0,1.0,0.9888,0.9528,39.2479981432053,0.0
459.tiff,canine soft tissue sarcoma,1.0,tm_score,20892,15834,1.0,1.0,0.9649,0.9214,31.9439181508147,0.0
459.tiff,canine soft tissue sarcoma,1.5,tm_score,17917,14284,1.0,1.0,0.9214,0.876,25.434052086250357,0.0
459.tiff,canine soft tissue sarcoma,2.0,tm_score,14755,12399,0.9923076923076924,0.9923076923076923,0.8479,0.807,19.00153238164368,1.1102230246251565e-16
459.tiff,canine soft tissue sarcoma,2.5,tm_score,11023,9806,0.9769230769230768,0.9769230769230769,0.7118,0.6831,12.4107689169896,-1.1102230246251565e-16
459.tiff,canine soft tissue sarcoma,3.0,tm_score,7162,6666,0.9307692307692308,0.9307692307692308,0.5139,0.4984,7.440744074407446,0.0
548.tiff,human melanoma,-1.0,chromatin_od,29157,17413,1.0,1.0,0.9967,0.9555,67.44386377993452,0.0
548.tiff,human melanoma,-0.5,chromatin_od,29114,17408,1.0,1.0,0.9967,0.9555,67.24494485294117,0.0
548.tiff,human melanoma,0.0,chromatin_od,28561,17284,1.0,1.0,0.9959,0.9533,65.24531358481833,0.0
548.tiff,human melanoma,0.5,chromatin_od,25458,16339,1.0,0.9957983193277311,0.9856,0.9329,55.81124915845523,0.004201680672268893
548.tiff,human melanoma,1.0,chromatin_od,20810,14484,1.0,0.9957983193277311,0.939,0.8773,43.67578017122342,0.004201680672268893
548.tiff,human melanoma,1.5,chromatin_od,17172,12855,1.0,0.9957983193277311,0.8764,0.8162,33.582263710618435,0.004201680672268893
548.tiff,human melanoma,2.0,chromatin_od,13899,11103,1.0,0.9915966386554622,0.7938,0.7412,25.182383139691964,0.008403361344537785
548.tiff,human melanoma,2.5,chromatin_od,10530,8987,1.0,0.9915966386554622,0.6711,0.6335,17.169244464226097,0.008403361344537785
548.tiff,human melanoma,3.0,chromatin_od,7442,6639,0.9957983193277312,0.9873949579831933,0.5192,0.4952,12.095195059496922,0.008403361344537896
548.tiff,human melanoma,-1.0,tm_score,29157,17413,1.0,1.0,0.9967,0.9555,67.44386377993452,0.0
548.tiff,human melanoma,-0.5,tm_score,29114,17408,1.0,1.0,0.9967,0.9555,67.24494485294117,0.0
548.tiff,human melanoma,0.0,tm_score,28561,17284,1.0,1.0,0.9959,0.9533,65.24531358481833,0.0
548.tiff,human melanoma,0.5,tm_score,25458,16339,1.0,0.9957983193277311,0.9856,0.9329,55.81124915845523,0.004201680672268893
548.tiff,human melanoma,1.0,tm_score,20810,14484,1.0,0.9957983193277311,0.939,0.8773,43.67578017122342,0.004201680672268893
548.tiff,human melanoma,1.5,tm_score,17172,12855,1.0,0.9957983193277311,0.8764,0.8162,33.582263710618435,0.004201680672268893
548.tiff,human melanoma,2.0,tm_score,13899,11103,1.0,0.9915966386554622,0.7938,0.7412,25.182383139691964,0.008403361344537785
548.tiff,human melanoma,2.5,tm_score,10530,8987,1.0,0.9915966386554622,0.6711,0.6335,17.169244464226097,0.008403361344537785
548.tiff,human melanoma,3.0,tm_score,7442,6639,0.9957983193277312,0.9873949579831933,0.5192,0.4952,12.095195059496922,0.008403361344537896
