subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum
original_14,human breast cancer,094.tiff,fill_alpha_2 - fill_alpha_0,10,0,0,0,0
original_14,human breast cancer,094.tiff,fill_alpha_2 - fill_alpha_0,20,3,1,1,5
original_14,human breast cancer,094.tiff,fill_alpha_2 - fill_alpha_0,30,1,2,0,3
testing_35,human breast cancer,007.tiff,fill_alpha_2 - fill_alpha_0,10,0,1,0,1
testing_35,human breast cancer,007.tiff,fill_alpha_2 - fill_alpha_0,20,0,1,0,1
testing_35,human breast cancer,007.tiff,fill_alpha_2 - fill_alpha_0,30,-1,1,0,0
testing_35,human breast cancer,072.tiff,fill_alpha_2 - fill_alpha_0,10,0,0,0,0
testing_35,human breast cancer,072.tiff,fill_alpha_2 - fill_alpha_0,20,7,3,0,10
testing_35,human breast cancer,072.tiff,fill_alpha_2 - fill_alpha_0,30,12,6,2,20
testing_35,human breast cancer,100.tiff,fill_alpha_2 - fill_alpha_0,10,0,0,0,0
testing_35,human breast cancer,100.tiff,fill_alpha_2 - fill_alpha_0,20,2,0,3,5
testing_35,human breast cancer,100.tiff,fill_alpha_2 - fill_alpha_0,30,2,0,6,8
testing_35,human breast cancer,123.tiff,fill_alpha_2 - fill_alpha_0,10,3,0,0,3
testing_35,human breast cancer,123.tiff,fill_alpha_2 - fill_alpha_0,20,5,5,1,11
testing_35,human breast cancer,123.tiff,fill_alpha_2 - fill_alpha_0,30,7,6,3,16
testing_35,human breast cancer,128.tiff,fill_alpha_2 - fill_alpha_0,10,0,1,0,1
testing_35,human breast cancer,128.tiff,fill_alpha_2 - fill_alpha_0,20,3,4,-1,6
testing_35,human breast cancer,128.tiff,fill_alpha_2 - fill_alpha_0,30,2,5,-1,6
original_14,human melanoma,529.tiff,fill_alpha_2 - fill_alpha_0,10,0,2,4,6
original_14,human melanoma,529.tiff,fill_alpha_2 - fill_alpha_0,20,1,4,7,12
original_14,human melanoma,529.tiff,fill_alpha_2 - fill_alpha_0,30,2,5,7,14
original_14,human melanoma,548.tiff,fill_alpha_2 - fill_alpha_0,10,0,1,1,2
original_14,human melanoma,548.tiff,fill_alpha_2 - fill_alpha_0,20,3,3,2,8
original_14,human melanoma,548.tiff,fill_alpha_2 - fill_alpha_0,30,2,2,3,7
testing_35,human melanoma,509.tiff,fill_alpha_2 - fill_alpha_0,10,0,1,0,1
testing_35,human melanoma,509.tiff,fill_alpha_2 - fill_alpha_0,20,-1,0,1,0
testing_35,human melanoma,509.tiff,fill_alpha_2 - fill_alpha_0,30,0,5,0,5
testing_35,human melanoma,524.tiff,fill_alpha_2 - fill_alpha_0,10,1,0,1,2
testing_35,human melanoma,524.tiff,fill_alpha_2 - fill_alpha_0,20,2,0,1,3
testing_35,human melanoma,524.tiff,fill_alpha_2 - fill_alpha_0,30,2,-1,1,2
testing_35,human melanoma,527.tiff,fill_alpha_2 - fill_alpha_0,10,2,3,2,7
testing_35,human melanoma,527.tiff,fill_alpha_2 - fill_alpha_0,20,5,4,1,10
