file_name,seed_index,condition,my_mpp,nb_mpp,my_radius,nb_radius,my_tp_10,my_tp_20,my_tp_30,nb_tp_10,nb_tp_20,nb_tp_30,my_contested_10,my_contested_20,my_contested_30,my_n_gt_mitotic,nb_n_gt_mitotic,my_nearest_other,nb_nearest_other,seed_is_mitotic,seed_is_unanimous,seed_click_matches,seed_border_ok,tpl_patch_readable,my_offset,nb_offset,od_descending,od_nan,base_odd,base_le_51
201.tiff,1,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,7,9,3,7,9,3,6,6,17,17,176.98,176.98,True,True,True,True,True,3.0,3.0,True,0,True,True
201.tiff,1,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,7,7,3,7,7,3,6,6,17,17,176.98,176.98,True,True,True,True,True,2.062,2.062,True,0,True,True
201.tiff,2,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,5,7,3,5,7,3,5,6,17,17,515.12,515.12,True,True,True,True,True,0.0,0.0,True,0,True,True
201.tiff,2,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,5,7,3,5,7,3,5,6,17,17,515.12,515.12,True,True,True,True,True,1.5,1.5,True,0,True,True
201.tiff,2,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,4,6,7,4,6,7,3,5,6,17,17,515.12,515.12,True,True,True,True,True,1.118,1.118,True,0,True,True
211.tiff,0,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,19,19,233.62,233.62,True,True,True,True,True,0.0,0.0,True,0,True,True
211.tiff,0,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,19,19,233.62,233.62,True,True,True,True,True,0.0,0.0,True,0,True,True
211.tiff,0,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,19,19,233.62,233.62,True,True,True,True,True,0.5,0.5,True,0,True,True
211.tiff,1,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,19,19,529.95,529.95,True,True,True,True,True,0.0,0.0,True,0,True,True
211.tiff,1,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,19,19,529.95,529.95,True,True,True,True,True,4.924,4.924,True,0,True,True
211.tiff,1,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,19,19,529.95,529.95,True,True,True,True,True,1.581,1.581,True,0,True,True
211.tiff,2,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,19,19,364.68,364.68,True,True,True,True,True,0.0,0.0,True,0,True,True
211.tiff,2,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,19,19,364.68,364.68,True,True,True,True,True,0.0,0.0,True,0,True,True
211.tiff,2,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,0,0,0,0,0,0,0,0,0,19,19,364.68,364.68,True,True,True,True,True,0.5,0.5,True,0,True,True
220.tiff,0,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,7,11,3,7,11,1,2,2,76,76,369.77,369.77,True,True,True,True,True,0.0,0.0,True,0,True,True
220.tiff,0,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,3,7,11,3,7,11,1,2,2,76,76,369.77,369.77,True,True,True,True,True,0.0,0.0,True,0,True,True
220.tiff,0,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,7,12,13,7,12,13,2,2,2,76,76,369.77,369.77,True,True,True,True,True,1.803,1.803,True,0,True,True
220.tiff,1,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,4,9,11,4,9,11,0,1,2,76,76,136.7,136.7,True,True,True,True,True,0.0,0.0,True,0,True,True
220.tiff,1,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,5,10,12,5,10,12,1,4,4,76,76,136.7,136.7,True,True,True,True,True,4.61,4.61,True,0,True,True
220.tiff,1,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,4,8,11,4,8,11,0,0,1,76,76,136.7,136.7,True,True,True,True,True,1.414,1.414,True,0,True,True
220.tiff,2,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,9,13,6,9,13,1,2,2,76,76,321.66,321.66,True,True,True,True,True,0.0,0.0,True,0,True,True
220.tiff,2,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,9,13,6,9,13,1,2,2,76,76,321.66,321.66,True,True,True,True,True,0.0,0.0,True,0,True,True
220.tiff,2,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,10,11,6,10,11,1,1,2,76,76,321.66,321.66,True,True,True,True,True,3.606,3.606,True,0,True,True
230.tiff,0,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,12,13,6,12,13,2,5,6,17,17,186.51,186.51,True,True,True,True,True,0.0,0.0,True,0,True,True
230.tiff,0,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,12,13,6,12,13,2,5,6,17,17,186.51,186.51,True,True,True,True,True,0.0,0.0,True,0,True,True
230.tiff,0,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,13,14,6,13,14,2,7,7,17,17,186.51,186.51,True,True,True,True,True,1.5,1.5,True,0,True,True
230.tiff,1,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,6,12,13,6,12,13,2,7,7,17,17,102.18,102.18,True,True,True,True,True,0.0,0.0,True,0,True,True
