subset,domain,file_name,condition,rank_key,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
original_14,canine lymphosarcoma,246.tiff,fill_alpha_0,tm_score,3,21,37,49,0.7,0.6166666666666667,0.5444444444444444
original_14,canine lymphosarcoma,246.tiff,mass_only,chromatin_od,3,30,52,69,1.0,0.8666666666666667,0.7666666666666667
original_14,canine lymphosarcoma,246.tiff,mass_only,tm_score,3,29,58,76,0.9666666666666667,0.9666666666666667,0.8444444444444444
original_14,canine lymphosarcoma,246.tiff,fill_alpha_1,chromatin_od,3,30,54,72,1.0,0.9,0.8
original_14,canine lymphosarcoma,246.tiff,fill_alpha_1,tm_score,3,29,53,76,0.9666666666666667,0.8833333333333333,0.8444444444444444
testing_35,canine lymphosarcoma,249.tiff,default_51,chromatin_od,3,21,47,71,0.7,0.7833333333333333,0.7888888888888889
testing_35,canine lymphosarcoma,249.tiff,default_51,tm_score,3,24,49,74,0.8,0.8166666666666667,0.8222222222222222
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_0,chromatin_od,3,19,44,67,0.6333333333333333,0.7333333333333333,0.7444444444444445
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_0,tm_score,3,22,41,59,0.7333333333333333,0.6833333333333333,0.6555555555555556
testing_35,canine lymphosarcoma,249.tiff,mass_only,chromatin_od,3,22,48,72,0.7333333333333333,0.8,0.8
testing_35,canine lymphosarcoma,249.tiff,mass_only,tm_score,3,25,44,63,0.8333333333333334,0.7333333333333333,0.7
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_1,chromatin_od,3,21,45,72,0.7,0.75,0.8
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_1,tm_score,3,26,52,73,0.8666666666666667,0.8666666666666667,0.8111111111111111
testing_35,canine lymphosarcoma,284.tiff,default_51,chromatin_od,3,24,47,58,0.8,0.7833333333333333,0.6444444444444445
testing_35,canine lymphosarcoma,284.tiff,default_51,tm_score,3,19,32,45,0.6333333333333333,0.5333333333333333,0.5
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_0,chromatin_od,3,20,40,51,0.6666666666666666,0.6666666666666666,0.5666666666666667
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_0,tm_score,3,17,30,38,0.5666666666666667,0.5,0.4222222222222222
testing_35,canine lymphosarcoma,284.tiff,mass_only,chromatin_od,3,24,46,58,0.8,0.7666666666666667,0.6444444444444445
testing_35,canine lymphosarcoma,284.tiff,mass_only,tm_score,3,20,36,51,0.6666666666666666,0.6,0.5666666666666667
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_1,chromatin_od,3,22,46,60,0.7333333333333333,0.7666666666666667,0.6666666666666666
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_1,tm_score,3,20,36,54,0.6666666666666666,0.6,0.6
testing_35,canine lymphosarcoma,289.tiff,default_51,chromatin_od,3,12,16,17,0.4,0.26666666666666666,0.18888888888888888
testing_35,canine lymphosarcoma,289.tiff,default_51,tm_score,3,9,12,12,0.3,0.2,0.13333333333333333
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_0,chromatin_od,3,8,11,14,0.26666666666666666,0.18333333333333332,0.15555555555555556
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_0,tm_score,3,8,10,11,0.26666666666666666,0.16666666666666666,0.12222222222222222
testing_35,canine lymphosarcoma,289.tiff,mass_only,chromatin_od,3,7,9,10,0.23333333333333334,0.15,0.1111111111111111
testing_35,canine lymphosarcoma,289.tiff,mass_only,tm_score,3,0,4,4,0.0,0.06666666666666667,0.044444444444444446
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_1,chromatin_od,3,7,13,14,0.23333333333333334,0.21666666666666667,0.15555555555555556
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_1,tm_score,3,7,8,9,0.23333333333333334,0.13333333333333333,0.1
testing_35,canine lymphosarcoma,291.tiff,default_51,chromatin_od,3,8,19,34,0.26666666666666666,0.31666666666666665,0.37777777777777777
testing_35,canine lymphosarcoma,291.tiff,default_51,tm_score,3,7,16,23,0.23333333333333334,0.26666666666666666,0.25555555555555554
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_0,chromatin_od,3,15,21,30,0.5,0.35,0.3333333333333333
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_0,tm_score,3,4,5,12,0.13333333333333333,0.08333333333333333,0.13333333333333333
testing_35,canine lymphosarcoma,291.tiff,mass_only,chromatin_od,3,12,30,47,0.4,0.5,0.5222222222222223
testing_35,canine lymphosarcoma,291.tiff,mass_only,tm_score,3,7,14,25,0.23333333333333334,0.23333333333333334,0.2777777777777778
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_1,chromatin_od,3,14,32,50,0.4666666666666667,0.5333333333333333,0.5555555555555556
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_1,tm_score,3,17,32,39,0.5666666666666667,0.5333333333333333,0.43333333333333335
testing_35,canine lymphosarcoma,293.tiff,default_51,chromatin_od,3,14,41,65,0.4666666666666667,0.6833333333333333,0.7222222222222222
testing_35,canine lymphosarcoma,293.tiff,default_51,tm_score,3,27,49,68,0.9,0.8166666666666667,0.7555555555555555
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_0,chromatin_od,3,26,52,73,0.8666666666666667,0.8666666666666667,0.8111111111111111
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_0,tm_score,3,28,44,61,0.9333333333333333,0.7333333333333333,0.6777777777777778
testing_35,canine lymphosarcoma,293.tiff,mass_only,chromatin_od,3,7,26,50,0.23333333333333334,0.43333333333333335,0.5555555555555556
testing_35,canine lymphosarcoma,293.tiff,mass_only,tm_score,3,17,40,61,0.5666666666666667,0.6666666666666666,0.6777777777777778
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_1,chromatin_od,3,14,42,66,0.4666666666666667,0.7,0.7333333333333333
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_1,tm_score,3,24,48,71,0.8,0.8,0.7888888888888889
original_14,canine soft tissue sarcoma,459.tiff,default_51,chromatin_od,3,28,52,79,0.9333333333333333,0.8666666666666667,0.8777777777777778
original_14,canine soft tissue sarcoma,459.tiff,default_51,tm_score,3,28,56,81,0.9333333333333333,0.9333333333333333,0.9
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_0,chromatin_od,3,27,50,69,0.9,0.8333333333333334,0.7666666666666667
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_0,tm_score,3,15,33,46,0.5,0.55,0.5111111111111111
