scope,group,pair,K,G,pooled_delta,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,holm_p,nb_holm_p,nb_boot_ci_low,nb_boot_ci_high,boot_share_ge_0,boot_share_le_0,nb_boot_excludes_0,majority_of_all_rois,nb_d5_bar_met,t_ci_low,t_ci_high,t_excludes_0,n_same,majority_all,majority_nonzero,n_structural_zero_rois,majority_excl_structural_zero,d5_bar_under_t,repro_ci_low,repro_ci_high,repro_share_ge_0,repro_share_le_0,share_of_200_seeds_ci_excludes_0,d5_bar_seed_fragile
domain,human melanoma,hem_bbox - default_51,20,7,-0.05714285714285714,1,5,1,6,0.0625,0.03125,,,,,,,,,,-0.10815485404360835,-0.00613086024210594,True,5,True,True,0,True,,,,,,,
domain,human melanoma,hem_bbox - default_51,30,7,-0.05396825396825397,0,7,0,7,0.015625,0.015625,,,,,,,,,,-0.07312750720017705,-0.03480900073633088,True,7,True,True,0,True,,,,,,,
domain,human melanoma,hem_bbox - gray_bbox,10,7,-0.023809523809523808,0,4,3,4,0.125,0.125,,,,,,,,,,-0.04711344620138066,-0.0005056014176669639,True,4,True,True,0,True,,,,,,,
domain,human melanoma,hem_bbox - gray_bbox,20,7,-0.009523809523809525,2,4,1,6,0.5,0.03125,,,,,,,,,,-0.03106155969292788,0.012013940645308833,False,4,True,True,0,True,,,,,,,
domain,human melanoma,hem_bbox - gray_bbox,30,7,-0.01746031746031746,0,4,3,4,0.125,0.125,,,,,,,,,,-0.0360872650642675,0.001166630143632578,False,4,True,True,0,True,,,,,,,
domain,human neuroendocrine tumor,gray_bbox - default_51,10,7,-0.05714285714285714,0,6,1,6,0.03125,0.03125,,,,,,,,,,-0.0957880405015325,-0.01849767378418178,True,6,True,True,0,True,,,,,,,
domain,human neuroendocrine tumor,gray_bbox - default_51,20,7,-0.0380952380952381,0,7,0,7,0.015625,0.015625,,,,,,,,,,-0.061155133632795684,-0.015035342557680504,True,7,True,True,0,True,,,,,,,
domain,human neuroendocrine tumor,gray_bbox - default_51,30,7,-0.03333333333333333,0,5,2,5,0.0625,0.0625,,,,,,,,,,-0.06116104584333351,-0.005505620823333156,True,5,True,True,0,True,,,,,,,
domain,human neuroendocrine tumor,hem_bbox - default_51,10,7,-0.08095238095238096,0,6,1,6,0.03125,0.03125,,,,,,,,,,-0.13392290225781445,-0.027981859646947452,True,6,True,True,0,True,,,,,,,
domain,human neuroendocrine tumor,hem_bbox - default_51,20,7,-0.06904761904761905,0,7,0,7,0.015625,0.015625,,,,,,,,,,-0.093303110496282,-0.044792127598956115,True,7,True,True,0,True,,,,,,,
domain,human neuroendocrine tumor,hem_bbox - default_51,30,7,-0.06349206349206349,0,7,0,7,0.015625,0.015625,,,,,,,,,,-0.09992709177621932,-0.027057035207907667,True,7,True,True,0,True,,,,,,,
domain,human neuroendocrine tumor,hem_bbox - gray_bbox,10,7,-0.023809523809523808,0,3,4,3,0.25,0.25,,,,,,,,,,-0.05811196877824757,0.010492921159199949,False,3,False,True,0,False,,,,,,,
domain,human neuroendocrine tumor,hem_bbox - gray_bbox,20,7,-0.030952380952380953,0,6,1,6,0.03125,0.03125,,,,,,,,,,-0.053516306783623874,-0.008388455121138031,True,6,True,True,0,True,,,,,,,
domain,human neuroendocrine tumor,hem_bbox - gray_bbox,30,7,-0.03015873015873016,0,5,2,5,0.0625,0.0625,,,,,,,,,,-0.05716105444699739,-0.003156405870462928,True,5,True,True,0,True,,,,,,,
