rank_key,subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum
chromatin_od,testing_35,canine lymphosarcoma,291.tiff,mass_only - fill_alpha_0,30,2,9,6,17
chromatin_od,testing_35,canine lymphosarcoma,293.tiff,mass_only - fill_alpha_0,10,-6,-7,-6,-19
chromatin_od,testing_35,canine lymphosarcoma,293.tiff,mass_only - fill_alpha_0,20,-7,-13,-6,-26
chromatin_od,testing_35,canine lymphosarcoma,293.tiff,mass_only - fill_alpha_0,30,-5,-13,-5,-23
chromatin_od,original_14,canine soft tissue sarcoma,459.tiff,mass_only - fill_alpha_0,10,0,0,0,0
chromatin_od,original_14,canine soft tissue sarcoma,459.tiff,mass_only - fill_alpha_0,20,2,-1,2,3
chromatin_od,original_14,canine soft tissue sarcoma,459.tiff,mass_only - fill_alpha_0,30,3,1,8,12
chromatin_od,original_14,canine soft tissue sarcoma,460.tiff,mass_only - fill_alpha_0,10,-1,6,4,9
chromatin_od,original_14,canine soft tissue sarcoma,460.tiff,mass_only - fill_alpha_0,20,4,11,12,27
chromatin_od,original_14,canine soft tissue sarcoma,460.tiff,mass_only - fill_alpha_0,30,3,12,14,29
chromatin_od,testing_35,canine soft tissue sarcoma,410.tiff,mass_only - fill_alpha_0,10,1,1,2,4
chromatin_od,testing_35,canine soft tissue sarcoma,410.tiff,mass_only - fill_alpha_0,20,3,3,3,9
chromatin_od,testing_35,canine soft tissue sarcoma,410.tiff,mass_only - fill_alpha_0,30,3,3,3,9
chromatin_od,testing_35,canine soft tissue sarcoma,425.tiff,mass_only - fill_alpha_0,10,0,-3,-1,-4
chromatin_od,testing_35,canine soft tissue sarcoma,425.tiff,mass_only - fill_alpha_0,20,-5,-7,3,-9
chromatin_od,testing_35,canine soft tissue sarcoma,425.tiff,mass_only - fill_alpha_0,30,-6,-7,3,-10
chromatin_od,testing_35,canine soft tissue sarcoma,435.tiff,mass_only - fill_alpha_0,10,0,0,2,2
chromatin_od,testing_35,canine soft tissue sarcoma,435.tiff,mass_only - fill_alpha_0,20,3,1,5,9
chromatin_od,testing_35,canine soft tissue sarcoma,435.tiff,mass_only - fill_alpha_0,30,2,2,3,7
chromatin_od,testing_35,canine soft tissue sarcoma,462.tiff,mass_only - fill_alpha_0,10,1,0,0,1
chromatin_od,testing_35,canine soft tissue sarcoma,462.tiff,mass_only - fill_alpha_0,20,0,0,2,2
chromatin_od,testing_35,canine soft tissue sarcoma,462.tiff,mass_only - fill_alpha_0,30,1,1,1,3
chromatin_od,testing_35,canine soft tissue sarcoma,499.tiff,mass_only - fill_alpha_0,10,-1,0,-1,-2
chromatin_od,testing_35,canine soft tissue sarcoma,499.tiff,mass_only - fill_alpha_0,20,0,2,0,2
chromatin_od,testing_35,canine soft tissue sarcoma,499.tiff,mass_only - fill_alpha_0,30,-2,1,-1,-2
chromatin_od,original_14,human breast cancer,013.tiff,mass_only - fill_alpha_0,10,0,1,0,1
chromatin_od,original_14,human breast cancer,013.tiff,mass_only - fill_alpha_0,20,-2,4,1,3
chromatin_od,original_14,human breast cancer,013.tiff,mass_only - fill_alpha_0,30,-2,3,1,2
chromatin_od,original_14,human breast cancer,094.tiff,mass_only - fill_alpha_0,10,0,0,0,0
chromatin_od,original_14,human breast cancer,094.tiff,mass_only - fill_alpha_0,20,3,0,1,4
chromatin_od,original_14,human breast cancer,094.tiff,mass_only - fill_alpha_0,30,1,2,0,3
chromatin_od,testing_35,human breast cancer,007.tiff,mass_only - fill_alpha_0,10,0,1,0,1
chromatin_od,testing_35,human breast cancer,007.tiff,mass_only - fill_alpha_0,20,0,1,0,1
chromatin_od,testing_35,human breast cancer,007.tiff,mass_only - fill_alpha_0,30,-1,1,0,0
chromatin_od,testing_35,human breast cancer,072.tiff,mass_only - fill_alpha_0,10,0,0,0,0
chromatin_od,testing_35,human breast cancer,072.tiff,mass_only - fill_alpha_0,20,6,4,0,10
chromatin_od,testing_35,human breast cancer,072.tiff,mass_only - fill_alpha_0,30,10,6,1,17
chromatin_od,testing_35,human breast cancer,100.tiff,mass_only - fill_alpha_0,10,0,0,0,0
chromatin_od,testing_35,human breast cancer,100.tiff,mass_only - fill_alpha_0,20,2,0,3,5
chromatin_od,testing_35,human breast cancer,100.tiff,mass_only - fill_alpha_0,30,2,0,5,7
chromatin_od,testing_35,human breast cancer,123.tiff,mass_only - fill_alpha_0,10,3,0,0,3
chromatin_od,testing_35,human breast cancer,123.tiff,mass_only - fill_alpha_0,20,6,4,2,12
chromatin_od,testing_35,human breast cancer,123.tiff,mass_only - fill_alpha_0,30,7,5,3,15
chromatin_od,testing_35,human breast cancer,128.tiff,mass_only - fill_alpha_0,10,-1,1,0,0
chromatin_od,testing_35,human breast cancer,128.tiff,mass_only - fill_alpha_0,20,2,5,0,7
chromatin_od,testing_35,human breast cancer,128.tiff,mass_only - fill_alpha_0,30,0,7,0,7
chromatin_od,original_14,human melanoma,529.tiff,mass_only - fill_alpha_0,10,0,2,4,6
chromatin_od,original_14,human melanoma,529.tiff,mass_only - fill_alpha_0,20,1,4,8,13
chromatin_od,original_14,human melanoma,529.tiff,mass_only - fill_alpha_0,30,2,5,7,14
chromatin_od,original_14,human melanoma,548.tiff,mass_only - fill_alpha_0,10,0,1,1,2
chromatin_od,original_14,human melanoma,548.tiff,mass_only - fill_alpha_0,20,3,3,3,9
