subset,domain,file_name,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_self_hits,n_near_click,near_click_detail,od_nan,od_descending,t_run_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
testing_35,canine lung cancer,242.tiff,242,2,default_51,6161,3464.0,1628.0,0.24816562612969095,30.221751968503938,26,2d5be10c1a4988bd23f452e77deaa9d4a9018528,100,98,1,0,,0,True,1.9,0,1,1,30.0,0.0,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,242,2,hem_rect_fill,6161,3464.0,1628.0,0.24816562612969095,30.221751968503938,26,f0fcc844e791924de45cab8040c62c62bf71fea4,100,98,1,0,,0,True,1.914,0,1,1,,0.0,0.05,0.03333333333333333
original_14,canine lymphosarcoma,245.tiff,245,0,default_51,6317,4774.0,2184.0,0.24816562612969095,30.221751968503938,89,4e2a055fabc3683dacc791dfd6abffc31e0f0a14,100,97,1,0,,0,True,1.976,1,4,7,30.0,0.1,0.2,0.23333333333333334
original_14,canine lymphosarcoma,245.tiff,245,0,hem_rect_fill,6317,4774.0,2184.0,0.24816562612969095,30.221751968503938,89,40f449c40a93caef67a011b7185d07368b253ea5,100,97,0,0,,0,True,1.993,2,4,5,,0.2,0.2,0.16666666666666666
original_14,canine lymphosarcoma,245.tiff,245,1,default_51,6243,794.0,170.0,0.24816562612969095,30.221751968503938,89,2340dc408bb5b7e9eb2242cc2a945081f8eb548f,100,97,1,0,,0,True,2.002,0,0,1,30.0,0.0,0.0,0.03333333333333333
original_14,canine lymphosarcoma,245.tiff,245,1,hem_rect_fill,6243,794.0,170.0,0.24816562612969095,30.221751968503938,89,b441e785ab5abfd0ae5bc8dd5da129190feb4cdb,100,95,1,0,,0,True,2.279,1,1,3,,0.1,0.05,0.1
original_14,canine lymphosarcoma,245.tiff,245,2,default_51,6250,1758.0,166.0,0.24816562612969095,30.221751968503938,89,1cd413df20ce611acde55661ff31206df322faab,100,98,1,0,,0,True,2.204,1,1,1,30.0,0.1,0.05,0.03333333333333333
original_14,canine lymphosarcoma,245.tiff,245,2,hem_rect_fill,6250,1758.0,166.0,0.24816562612969095,30.221751968503938,89,95fc7a17c9f449af28e3619c7d109272f4681eb4,100,98,1,0,,0,True,2.287,1,3,5,,0.1,0.15,0.16666666666666666
original_14,canine lymphosarcoma,246.tiff,246,0,default_51,6548,3634.0,3621.0,0.24816562612969095,30.221751968503938,115,d52705e100bffca19288e176fb8ce51f00fab4b8,100,97,1,0,,0,True,2.251,10,17,23,30.0,1.0,0.85,0.7666666666666667
original_14,canine lymphosarcoma,246.tiff,246,0,hem_rect_fill,6548,3634.0,3621.0,0.24816562612969095,30.221751968503938,115,9d7dc56fbc08c734fa335ad5f1522a536a5bf757,100,96,1,0,,0,True,2.21,10,18,24,,1.0,0.9,0.8
original_14,canine lymphosarcoma,246.tiff,246,1,default_51,6599,5650.0,3720.0,0.24816562612969095,30.221751968503938,115,64f8d1973cb97648d329f4b51c7fc80ec14abc3f,100,97,1,0,,0,True,2.656,10,19,26,30.0,1.0,0.95,0.8666666666666667
original_14,canine lymphosarcoma,246.tiff,246,1,hem_rect_fill,6599,5650.0,3720.0,0.24816562612969095,30.221751968503938,115,1d5359531e83374a014fd121b879c7df60396a43,100,96,1,0,,0,True,2.245,10,18,24,,1.0,0.9,0.8
original_14,canine lymphosarcoma,246.tiff,246,2,default_51,6482,4659.0,1278.0,0.24816562612969095,30.221751968503938,115,efa06d7c662a1ee3cddd234d517265ce47f40c81,100,99,1,0,,0,True,2.338,10,19,26,30.0,1.0,0.95,0.8666666666666667
original_14,canine lymphosarcoma,246.tiff,246,2,hem_rect_fill,6482,4659.0,1278.0,0.24816562612969095,30.221751968503938,115,549aac9968c70543d16b61b42ec002a1c94744e2,100,98,1,0,,0,True,2.502,10,18,24,,1.0,0.9,0.8
testing_35,canine lymphosarcoma,249.tiff,249,0,default_51,6940,3611.0,621.0,0.24816562612969095,30.221751968503938,111,39fb274a6529587a067d6bd00bc1307f7261c7ce,100,99,1,0,,0,True,2.289,7,16,24,30.0,0.7,0.8,0.8
testing_35,canine lymphosarcoma,249.tiff,249,0,hem_rect_fill,6940,3611.0,621.0,0.24816562612969095,30.221751968503938,111,98fcbb430245d1d29cd63216af62ce5a67e90dac,100,99,1,0,,0,True,2.649,7,15,24,,0.7,0.75,0.8
testing_35,canine lymphosarcoma,249.tiff,249,1,default_51,7008,3751.0,2618.0,0.24816562612969095,30.221751968503938,111,5a9666020cb5485469042887dbae0b88c94e232a,100,96,1,0,,0,True,2.392,7,15,23,30.0,0.7,0.75,0.7666666666666667
