file_name,tumor_type,seed_index,z,n_at_z
301.tiff,canine cutaneous mast cell tumor,3,1.6,26191
301.tiff,canine cutaneous mast cell tumor,3,1.65,25725
301.tiff,canine cutaneous mast cell tumor,3,1.7,25219
301.tiff,canine cutaneous mast cell tumor,3,1.75,24692
301.tiff,canine cutaneous mast cell tumor,3,1.8,24178
301.tiff,canine cutaneous mast cell tumor,3,1.85,23647
301.tiff,canine cutaneous mast cell tumor,3,1.9,23074
301.tiff,canine cutaneous mast cell tumor,3,1.95,22472
301.tiff,canine cutaneous mast cell tumor,3,2.0,21927
301.tiff,canine cutaneous mast cell tumor,3,2.05,21316
301.tiff,canine cutaneous mast cell tumor,3,2.1,20733
301.tiff,canine cutaneous mast cell tumor,3,2.15,20133
301.tiff,canine cutaneous mast cell tumor,3,2.2,19556
301.tiff,canine cutaneous mast cell tumor,3,2.25,18954
301.tiff,canine cutaneous mast cell tumor,3,2.3,18330
301.tiff,canine cutaneous mast cell tumor,3,2.35,17701
301.tiff,canine cutaneous mast cell tumor,3,2.4,17102
301.tiff,canine cutaneous mast cell tumor,3,2.45,16525
301.tiff,canine cutaneous mast cell tumor,3,2.5,15914
301.tiff,canine cutaneous mast cell tumor,3,2.55,15297
301.tiff,canine cutaneous mast cell tumor,3,2.6,14647
301.tiff,canine cutaneous mast cell tumor,3,2.65,14030
301.tiff,canine cutaneous mast cell tumor,3,2.7,13390
301.tiff,canine cutaneous mast cell tumor,3,2.75,12813
301.tiff,canine cutaneous mast cell tumor,3,2.8,12238
301.tiff,canine cutaneous mast cell tumor,3,2.85,11692
301.tiff,canine cutaneous mast cell tumor,3,2.9,11119
301.tiff,canine cutaneous mast cell tumor,3,2.95,10566
301.tiff,canine cutaneous mast cell tumor,3,3.0,10043
301.tiff,canine cutaneous mast cell tumor,3,3.05,9547
301.tiff,canine cutaneous mast cell tumor,3,3.1,9029
301.tiff,canine cutaneous mast cell tumor,3,3.15,8556
301.tiff,canine cutaneous mast cell tumor,3,3.2,8119
301.tiff,canine cutaneous mast cell tumor,3,3.25,7665
301.tiff,canine cutaneous mast cell tumor,3,3.3,7221
301.tiff,canine cutaneous mast cell tumor,3,3.35,6839
301.tiff,canine cutaneous mast cell tumor,3,3.4,6455
301.tiff,canine cutaneous mast cell tumor,3,3.45,6053
301.tiff,canine cutaneous mast cell tumor,3,3.5,5702
301.tiff,canine cutaneous mast cell tumor,3,3.55,5354
301.tiff,canine cutaneous mast cell tumor,3,3.6,5054
301.tiff,canine cutaneous mast cell tumor,3,3.65,4775
301.tiff,canine cutaneous mast cell tumor,3,3.7,4475
301.tiff,canine cutaneous mast cell tumor,3,3.75,4211
301.tiff,canine cutaneous mast cell tumor,3,3.8,3956
301.tiff,canine cutaneous mast cell tumor,3,3.85,3717
301.tiff,canine cutaneous mast cell tumor,3,3.9,3508
301.tiff,canine cutaneous mast cell tumor,3,3.95,3348
301.tiff,canine cutaneous mast cell tumor,3,4.0,3146
301.tiff,canine cutaneous mast cell tumor,3,4.05,2937
301.tiff,canine cutaneous mast cell tumor,3,4.1,2742
301.tiff,canine cutaneous mast cell tumor,3,4.15,2577
301.tiff,canine cutaneous mast cell tumor,3,4.2,2411
301.tiff,canine cutaneous mast cell tumor,3,4.25,2289
301.tiff,canine cutaneous mast cell tumor,3,4.3,2145
301.tiff,canine cutaneous mast cell tumor,3,4.35,1989
301.tiff,canine cutaneous mast cell tumor,3,4.4,1860
301.tiff,canine cutaneous mast cell tumor,3,4.45,1743
301.tiff,canine cutaneous mast cell tumor,3,4.5,1663
301.tiff,canine cutaneous mast cell tumor,3,4.55,1560
301.tiff,canine cutaneous mast cell tumor,3,4.6,1454
301.tiff,canine cutaneous mast cell tumor,3,4.65,1356
301.tiff,canine cutaneous mast cell tumor,3,4.7,1269
301.tiff,canine cutaneous mast cell tumor,3,4.75,1195
301.tiff,canine cutaneous mast cell tumor,3,4.8,1125
301.tiff,canine cutaneous mast cell tumor,3,4.85,1056
301.tiff,canine cutaneous mast cell tumor,3,4.9,993
301.tiff,canine cutaneous mast cell tumor,3,4.95,947
301.tiff,canine cutaneous mast cell tumor,3,5.0,887
301.tiff,canine cutaneous mast cell tumor,3,5.05,829
