scope,group,pair,K,n_roi,n_clicks,pooled_delta_precision,mean_roi_summed_delta_tp,wins,losses,ties,ties_cancelling,n_nonzero,exact_p,min_attainable_p,mc_p,mc_extreme,mc_agrees,holm_family,holm_p,ci_low,ci_high,boot_share_ge_0,boot_share_le_0,t_ci_low,t_ci_high,n_same_direction,ci_excludes_0,majority_of_all_rois,majority_of_nonzero_rois,d5_bar_met,t_ci_excludes_0,boot_share_0_or_opposite,d5_robustness
domain,canine lymphosarcoma,gray_bbox - default_51,10,7,21,0.009523809523809525,0.2857142857142857,3,3,1,0,6,0.90625,0.03125,0.9065404672976635,181308,True,,,,,,,,,3,,,,,,,
domain,canine lymphosarcoma,gray_bbox - default_51,20,7,21,-0.007142857142857143,-0.42857142857142855,2,4,1,0,6,0.84375,0.03125,0.843720781396093,168744,True,,,,,,,,,4,,,,,,,
domain,canine lymphosarcoma,gray_bbox - default_51,30,7,21,-0.006349206349206349,-0.5714285714285714,2,4,1,1,6,0.75,0.03125,0.7493512532437338,149870,True,,,,,,,,,4,,,,,,,
domain,canine lymphosarcoma,hem_bbox - default_51,10,7,21,0.02857142857142857,0.8571428571428571,3,3,1,0,6,0.78125,0.03125,0.7821360893195534,156427,True,,,,,,,,,3,,,,,,,
domain,canine lymphosarcoma,hem_bbox - default_51,20,7,21,-0.02857142857142857,-1.7142857142857142,2,4,1,1,6,0.5625,0.03125,0.562322188389058,112464,True,,,,,,,,,4,,,,,,,
domain,canine lymphosarcoma,hem_bbox - default_51,30,7,21,-0.03650793650793651,-3.2857142857142856,2,5,0,0,7,0.15625,0.015625,0.1571042144789276,31420,True,,,,,,,,,5,,,,,,,
domain,canine lymphosarcoma,hem_bbox - gray_bbox,10,7,21,0.01904761904761905,0.5714285714285714,2,2,3,1,4,0.75,0.125,0.7484462577687112,149689,True,,,,,,,,,2,,,,,,,
domain,canine lymphosarcoma,hem_bbox - gray_bbox,20,7,21,-0.02142857142857143,-1.2857142857142858,2,4,1,1,6,0.5,0.03125,0.4992325038374808,99846,True,,,,,,,,,4,,,,,,,
domain,canine lymphosarcoma,hem_bbox - gray_bbox,30,7,21,-0.03015873015873016,-2.7142857142857144,0,5,2,2,5,0.0625,0.0625,0.062719686401568,12543,True,,,,,,,,,5,,,,,,,
domain,canine soft tissue sarcoma,gray_bbox - default_51,10,7,21,0.014285714285714285,0.42857142857142855,4,1,2,0,5,0.5625,0.0625,0.5610871945640272,112217,True,,,,,,,,,4,,,,,,,
domain,canine soft tissue sarcoma,gray_bbox - default_51,20,7,21,-0.02619047619047619,-1.5714285714285714,1,5,1,0,6,0.09375,0.03125,0.09449452752736236,18898,True,,,,,,,,,5,,,,,,,
domain,canine soft tissue sarcoma,gray_bbox - default_51,30,7,21,-0.012698412698412698,-1.1428571428571428,1,4,2,0,5,0.1875,0.0625,0.18788906055469723,37577,True,,,,,,,,,4,,,,,,,
domain,canine soft tissue sarcoma,hem_bbox - default_51,10,7,21,-0.06666666666666667,-2.0,2,3,2,1,5,0.25,0.0625,0.24962375188124059,49924,True,,,,,,,,,3,,,,,,,
