file_name,domain,condition,arm,K,budget_delivered,tp_at_budget,lookalike_at_budget,precision,nb_tp_at_budget,nb_lookalike_at_budget,nb_precision
300.tiff,canine cutaneous mast cell tumor,hem_bbox,od_contrast,20,20,17,1,0.85,17,1,0.85
300.tiff,canine cutaneous mast cell tumor,hem_bbox,od_contrast,30,30,26,2,0.8666666666666667,26,2,0.8666666666666667
300.tiff,canine cutaneous mast cell tumor,hem_bbox,od_contrast,50,50,39,5,0.78,39,5,0.78
300.tiff,canine cutaneous mast cell tumor,gray_bbox,tm_score,10,10,9,0,0.9,9,0,0.9
300.tiff,canine cutaneous mast cell tumor,gray_bbox,tm_score,20,20,17,2,0.85,17,2,0.85
300.tiff,canine cutaneous mast cell tumor,gray_bbox,tm_score,30,30,25,3,0.8333333333333334,25,3,0.8333333333333334
300.tiff,canine cutaneous mast cell tumor,gray_bbox,tm_score,50,50,43,5,0.86,43,5,0.86
300.tiff,canine cutaneous mast cell tumor,gray_bbox,chromatin_od,10,10,9,0,0.9,9,0,0.9
300.tiff,canine cutaneous mast cell tumor,gray_bbox,chromatin_od,20,20,19,0,0.95,19,0,0.95
300.tiff,canine cutaneous mast cell tumor,gray_bbox,chromatin_od,30,30,27,2,0.9,27,2,0.9
300.tiff,canine cutaneous mast cell tumor,gray_bbox,chromatin_od,50,50,46,3,0.92,46,3,0.92
300.tiff,canine cutaneous mast cell tumor,gray_bbox,od_contrast,10,10,8,1,0.8,8,1,0.8
300.tiff,canine cutaneous mast cell tumor,gray_bbox,od_contrast,20,20,18,1,0.9,18,1,0.9
300.tiff,canine cutaneous mast cell tumor,gray_bbox,od_contrast,30,30,28,1,0.9333333333333333,28,1,0.9333333333333332
300.tiff,canine cutaneous mast cell tumor,gray_bbox,od_contrast,50,50,45,3,0.9,45,3,0.9
301.tiff,canine cutaneous mast cell tumor,hem_bbox,tm_score,10,10,9,0,0.9,9,0,0.9
301.tiff,canine cutaneous mast cell tumor,hem_bbox,tm_score,20,20,18,0,0.9,18,0,0.9
301.tiff,canine cutaneous mast cell tumor,hem_bbox,tm_score,30,30,26,2,0.8666666666666667,26,2,0.8666666666666667
301.tiff,canine cutaneous mast cell tumor,hem_bbox,tm_score,50,50,41,6,0.82,41,6,0.82
301.tiff,canine cutaneous mast cell tumor,hem_bbox,chromatin_od,10,10,8,2,0.8,8,2,0.8
301.tiff,canine cutaneous mast cell tumor,hem_bbox,chromatin_od,20,20,17,2,0.85,17,2,0.85
301.tiff,canine cutaneous mast cell tumor,hem_bbox,chromatin_od,30,30,26,2,0.8666666666666667,26,2,0.8666666666666667
301.tiff,canine cutaneous mast cell tumor,hem_bbox,chromatin_od,50,50,41,5,0.82,41,5,0.82
