file_name,tumor_type,image_id,condition,tighten_channel,base_size,tpl_cx,tpl_cy,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,61.0,,,,,,20,20,6,2,0.35294117647058826,0.3
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,61.0,,,,,,30,30,7,4,0.4117647058823529,0.23333333333333334
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,61.0,,,,,,50,50,7,4,0.4117647058823529,0.14
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,29.0,,,,,,10,10,6,0,0.35294117647058826,0.6
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,29.0,,,,,,20,20,7,1,0.4117647058823529,0.35
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,29.0,,,,,,30,30,9,2,0.5294117647058824,0.3
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,29.0,,,,,,50,50,9,3,0.5294117647058824,0.18
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,22.0,,,,,,10,10,7,0,0.4117647058823529,0.7
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,22.0,,,,,,20,20,7,1,0.4117647058823529,0.35
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,22.0,,,,,,30,30,9,1,0.5294117647058824,0.3
233.tiff,canine lung cancer,233,hem_bbox,hematoxylin_od,23,4419.0,2138.0,-0.00899,0.10379,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,23,96,0.0083,4,1,0.0,0.5882352941176471,30.222,22.0,,,,,,50,50,10,3,0.5882352941176471,0.2
233.tiff,canine lung cancer,233,gray_bbox,gray_inverted,25,4418.0,2139.0,-0.01397,0.1566,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,23,97,0.0084,4,1,0.0,0.6470588235294118,30.222,61.0,,,,,,10,10,3,2,0.17647058823529413,0.3
233.tiff,canine lung cancer,233,gray_bbox,gray_inverted,25,4418.0,2139.0,-0.01397,0.1566,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,23,97,0.0084,4,1,0.0,0.6470588235294118,30.222,61.0,,,,,,20,20,5,2,0.29411764705882354,0.25
233.tiff,canine lung cancer,233,gray_bbox,gray_inverted,25,4418.0,2139.0,-0.01397,0.1566,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,23,97,0.0084,4,1,0.0,0.6470588235294118,30.222,61.0,,,,,,30,30,8,3,0.47058823529411764,0.26666666666666666
