file_name,seed,seed_ann_id,ranker,quantile,depth,n_found,n_gt_mitotic,ceiling,frac_of_pool
245.tiff,0,6317,od51_onesided,0.99,22844,89,89,1.0,0.6544
245.tiff,0,6317,od51_onesided,1.0,22844,89,89,1.0,0.6544
245.tiff,0,6317,feat_sim,0.5,9438,89,89,1.0,0.2704
245.tiff,0,6317,feat_sim,0.9,22793,89,89,1.0,0.6529
245.tiff,0,6317,feat_sim,0.95,26768,89,89,1.0,0.7668
245.tiff,0,6317,feat_sim,0.98,32481,89,89,1.0,0.9304
245.tiff,0,6317,feat_sim,0.99,32863,89,89,1.0,0.9414
245.tiff,0,6317,feat_sim,1.0,32863,89,89,1.0,0.9414
245.tiff,1,6349,blob_abs,0.5,944,89,89,1.0,0.027
245.tiff,1,6349,blob_abs,0.9,10182,89,89,1.0,0.2917
245.tiff,1,6349,blob_abs,0.95,13480,89,89,1.0,0.3861
245.tiff,1,6349,blob_abs,0.98,15958,89,89,1.0,0.4571
245.tiff,1,6349,blob_abs,0.99,17472,89,89,1.0,0.5005
245.tiff,1,6349,blob_abs,1.0,17472,89,89,1.0,0.5005
245.tiff,1,6349,od51_abs,0.5,743,89,89,1.0,0.0213
245.tiff,1,6349,od51_abs,0.9,12725,89,89,1.0,0.3645
245.tiff,1,6349,od51_abs,0.95,15457,89,89,1.0,0.4428
245.tiff,1,6349,od51_abs,0.98,19913,89,89,1.0,0.5704
245.tiff,1,6349,od51_abs,0.99,22844,89,89,1.0,0.6544
245.tiff,1,6349,od51_abs,1.0,22844,89,89,1.0,0.6544
245.tiff,1,6349,od51_sim,0.5,710,89,89,1.0,0.0203
245.tiff,1,6349,od51_sim,0.9,12714,89,89,1.0,0.3642
245.tiff,1,6349,od51_sim,0.95,15449,89,89,1.0,0.4426
245.tiff,1,6349,od51_sim,0.98,19905,89,89,1.0,0.5702
245.tiff,1,6349,od51_sim,0.99,22838,89,89,1.0,0.6542
245.tiff,1,6349,od51_sim,1.0,22838,89,89,1.0,0.6542
245.tiff,1,6349,od51_onesided,0.5,743,89,89,1.0,0.0213
245.tiff,1,6349,od51_onesided,0.9,12725,89,89,1.0,0.3645
245.tiff,1,6349,od51_onesided,0.95,15457,89,89,1.0,0.4428
245.tiff,1,6349,od51_onesided,0.98,19913,89,89,1.0,0.5704
245.tiff,1,6349,od51_onesided,0.99,22844,89,89,1.0,0.6544
245.tiff,1,6349,od51_onesided,1.0,22844,89,89,1.0,0.6544
245.tiff,1,6349,feat_sim,0.5,4829,89,89,1.0,0.1383
245.tiff,1,6349,feat_sim,0.9,16091,89,89,1.0,0.4609
245.tiff,1,6349,feat_sim,0.95,24007,89,89,1.0,0.6877
245.tiff,1,6349,feat_sim,0.98,29959,89,89,1.0,0.8582
245.tiff,1,6349,feat_sim,0.99,31500,89,89,1.0,0.9023
245.tiff,1,6349,feat_sim,1.0,31500,89,89,1.0,0.9023
245.tiff,2,6331,blob_abs,0.5,944,89,89,1.0,0.027
245.tiff,2,6331,blob_abs,0.9,10182,89,89,1.0,0.2917
245.tiff,2,6331,blob_abs,0.95,13480,89,89,1.0,0.3861
245.tiff,2,6331,blob_abs,0.98,15958,89,89,1.0,0.4571
245.tiff,2,6331,blob_abs,0.99,17472,89,89,1.0,0.5005
245.tiff,2,6331,blob_abs,1.0,17472,89,89,1.0,0.5005
245.tiff,2,6331,od51_abs,0.5,744,89,89,1.0,0.0213
245.tiff,2,6331,od51_abs,0.9,12725,89,89,1.0,0.3645
245.tiff,2,6331,od51_abs,0.95,15457,89,89,1.0,0.4428
